idCompra,idItemCompra,forma,modalidade,criterioJulgamento,numeroItemCompra,descricaoItem,codigoItemCatalogo,nomeUnidadeMedida,siglaUnidadeMedida,nomeUnidadeFornecimento,siglaUnidadeFornecimento,capacidadeUnidadeFornecimento,quantidade,precoUnitario,percentualMaiorDesconto,niFornecedor,nomeFornecedor,marca,codigoUasg,nomeUasg,codigoMunicipio,municipio,estado,codigoOrgao,nomeOrgao,poder,esfera,dataCompra,dataHoraAtualizacaoCompra,dataHoraAtualizacaoItem,dataResultado,dataHoraAtualizacaoUasg,codigoClasse,nomeClasse
98756505001812021,344063,SISRP,5,V,2,"ACICLOVIR, DOSAGEM: 200 MG",268370,NA,NA,NA,NA,"0,00","40.000,00","0,15","0,00",34027398000171,JETHAMED COMERCIO DE PRODUTOS HOSPITALARES LTDA,PHARLAB,987565,PREF.MUN. DE FRANCISCO BELTRAO - PR,"4.108.403,00",FRANCISCO BELTRÃO,PR,97901,PREFEITURA DE FRANCISCO BELTRAO - PR,E,M,2022-01-21T03:00:00Z,2023-01-22T03:30:00Z,2023-01-22T04:00:00Z,2022-01-21T03:00:00Z,2023-06-16T15:04:00Z,6505,DROGAS E MEDICAMENTOS
15501705000692022,2187326,SISRP,5,V,1,"ACICLOVIR, DOSAGEM: 200 MG",268370,NA,NA,COMPRIMIDO,COMPR,"0,00","51.900,00","0,24","0,00",36191620000100,MS HOSPITALAR LTDA,RANBAXY,155017,HOSPITAL UNIVERSITÁRIO DE SERGIPE,"2.800.308,00",ARACAJU,SE,26443,EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES,E,F,2023-01-23T03:00:00Z,2024-01-24T03:30:00Z,2024-01-24T04:00:00Z,2023-01-23T03:00:00Z,2025-03-18T17:23:00Z,6505,DROGAS E MEDICAMENTOS
46256005000462022,2187831,SISRP,5,V,1,"ACICLOVIR, DOSAGEM: 200 MG",268370,NA,NA,COMPRIMIDO,COMPR,"0,00","300,00","0,36","0,00",35830966000130,ARMAZEM TOCANTINS DISTRIBUIDORA E SERVICOS LTDA,PHARLAB,462560,FUNDO MUNICIPAL DE SAUDE DE GUARAI - TO,"1.709.302,00",GUARAÍ,TO,93805,FUNDO MUNICIPAL DE SAUDE DE GUARAI - TO,E,M,2023-01-23T03:00:00Z,2024-01-24T03:30:00Z,2024-01-24T04:00:00Z,2023-01-23T03:00:00Z,2024-03-24T15:14:00Z,6505,DROGAS E MEDICAMENTOS
98015105000142022,2200899,SISRP,5,V,4,"ACICLOVIR, DOSAGEM: 200 MG",268370,NA,NA,COMPRIMIDO,COMPR,"0,00","12.000,00","0,27","0,00",42946717000170,ULTRA MED DISTRIBUIDORA DE MEDICAMENTOS LTDA,PHARLAB,980151,PREFEITURA MUNICIPAL DE PLACIDO DE CASTRO-AC,"1.200.385,00",PLÁCIDO DE CASTRO,AC,93197,PREFEITURA DE PLACIDO DE CASTRO - AC,E,M,2023-01-25T03:00:00Z,2024-01-26T03:30:00Z,2024-01-26T04:00:00Z,2023-01-25T03:00:00Z,2023-09-20T09:40:00Z,6505,DROGAS E MEDICAMENTOS
16024205000362021,350900,SISRP,5,V,12,"ACICLOVIR, DOSAGEM: 200 MG",268370,NA,NA,COMPRIMIDO,COMPR,"0,00","300,00","0,40","0,00",40600760000154,LEMAN MEDICAMENTOS E CIA LTDA,HERVIRAX,160242,BASE ADMINISTRATIVA DO COMPLEXO DE SAÚDE RJ,"3.304.557,00",RIO DE JANEIRO,RJ,52121,COMANDO DO EXERCITO,E,F,2022-01-25T03:00:00Z,2023-01-26T03:30:00Z,2023-01-26T04:00:00Z,2022-01-25T03:00:00Z,2025-06-12T15:41:00Z,6505,DROGAS E MEDICAMENTOS
92611905003042022,2220539,SISRP,5,V,3,"ACICLOVIR, DOSAGEM: 200 MG",268370,NA,NA,COMPRIMIDO,COMPR,"0,00","563.139,00","0,17","0,00",14115388000261,ELLO DISTRIBUICAO LTDA,RANBAXY,926119,SECRETARIA DE ESTADO DE SAÚDE - DF,"5.300.108,00",BRASÍLIA,DF,97436,EDF-SECRETARIA DE ESTADO DE SAÚDE - GDF,E,E,2023-01-30T03:00:00Z,2024-01-31T03:29:59Z,2024-01-31T03:59:59Z,2023-01-30T03:00:00Z,2025-01-14T10:37:00Z,6505,DROGAS E MEDICAMENTOS
92611905003042022,2220540,SISRP,5,V,4,"ACICLOVIR, DOSAGEM: 200 MG",268370,NA,NA,COMPRIMIDO,COMPR,"0,00","187.713,00","0,17","0,00",35472743000149,HEALTH DISTRIBUIDORA DE MEDICAMENTOS LTDA,RANBAXY,926119,SECRETARIA DE ESTADO DE SAÚDE - DF,"5.300.108,00",BRASÍLIA,DF,97436,EDF-SECRETARIA DE ESTADO DE SAÚDE - GDF,E,E,2023-01-30T03:00:00Z,2024-01-31T03:29:59Z,2024-01-31T03:59:59Z,2023-01-30T03:00:00Z,2025-01-14T10:37:00Z,6505,DROGAS E MEDICAMENTOS
92757105000402022,2224570,SISRP,5,V,2,"ACICLOVIR, DOSAGEM: 200 MG",268370,NA,NA,COMPRIMIDO,COMPR,"0,00","50.000,00","0,18","0,00",94389400000184,MCW PRODUTOS MEDICOS E HOSPITALARES LTDA,RANBAXY,927571,AUTARQUIA MUN. DE SAUDE DE APUCARANA - PR,"4.101.408,00",APUCARANA,PR,98001,AUTARQUIA MUN. DE SAUDE DE APUCARANA - PR,E,M,2023-01-31T03:00:00Z,2024-02-01T03:30:00Z,2024-02-01T04:00:00Z,2023-01-31T03:00:00Z,2024-01-19T16:38:00Z,6505,DROGAS E MEDICAMENTOS
25005205000042022,367922,SISRP,5,V,2,"ACICLOVIR, DOSAGEM: 200 MG",268370,NA,NA,NA,NA,"0,00","284.607,00","0,19","0,00",34729047000102,NSA DISTRIBUIDORA DE MEDICAMENTOS EIRELI,GENERICO,250052,INSTITUTO NACIONAL DO CANCER - RJ,"3.304.557,00",RIO DE JANEIRO,RJ,36000,MINISTERIO DA SAUDE,E,F,2022-01-31T03:00:00Z,2023-02-01T03:30:00Z,2023-02-01T04:00:00Z,2022-01-31T03:00:00Z,2025-06-11T12:51:00Z,6505,DROGAS E MEDICAMENTOS
25005205000042022,367923,SISRP,5,V,3,"ACICLOVIR, DOSAGEM: 200 MG",268370,NA,NA,NA,NA,"0,00","94.868,00","0,19","0,00",34729047000102,NSA DISTRIBUIDORA DE MEDICAMENTOS EIRELI,GENERICO,250052,INSTITUTO NACIONAL DO CANCER - RJ,"3.304.557,00",RIO DE JANEIRO,RJ,36000,MINISTERIO DA SAUDE,E,F,2022-01-31T03:00:00Z,2023-02-01T03:30:00Z,2023-02-01T04:00:00Z,2022-01-31T03:00:00Z,2025-06-11T12:51:00Z,6505,DROGAS E MEDICAMENTOS
16014605000132022,2230020,SISRP,5,V,1,"ACICLOVIR, DOSAGEM: 200 MG",268370,NA,NA,COMPRIMIDO,COMPR,"0,00","600,00","0,39","0,00",23312871000146,EXEMPLARMED COMERCIO DE PRODUTOS HOSPITALARES LTDA,PRATI DONADUZZI,160146,COMANDO DA 18 BRIG DE INFANTARIA DE PANTANAL,"5.003.207,00",CORUMBÁ,MS,52121,COMANDO DO EXERCITO,E,F,2023-02-01T03:00:00Z,2024-02-02T03:30:00Z,2024-02-02T04:00:00Z,2023-02-01T03:00:00Z,2025-06-02T11:09:00Z,6505,DROGAS E MEDICAMENTOS
25702205000122022,2230502,SISRP,5,V,2,"ACICLOVIR, DOSAGEM: 200 MG",268370,NA,NA,COMPRIMIDO,COMPR,"0,00","21.396,00","0,25","0,00",41934826000105,ALTO URUGUAI DISTRIBUIDORA LTDA,Prati,257022,DISTRITO SANIT.ESP.INDÍGENA- ALTO PURUS,"1.200.401,00",RIO BRANCO,AC,36000,MINISTERIO DA SAUDE,E,F,2023-02-06T03:00:00Z,2024-02-07T03:30:00Z,2024-02-07T04:00:00Z,2023-02-06T03:00:00Z,2023-07-06T09:14:00Z,6505,DROGAS E MEDICAMENTOS
15518005000582022,2237460,SISRP,5,V,3,"ACICLOVIR, DOSAGEM: 200 MG",268370,NA,NA,COMPRIMIDO,COMPR,"0,00","1.000,00","0,29","0,00",12889035000102,INOVAMED HOSPITALAR LTDA,Cimed,155180,HOSP ENS DR WASHINGTON ANTONIO BARROS,"2.611.101,00",PETROLINA,PE,26443,EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES,E,F,2023-02-02T03:00:00Z,2024-02-03T03:30:00Z,2024-02-03T04:00:00Z,2023-02-02T03:00:00Z,2025-03-18T17:23:00Z,6505,DROGAS E MEDICAMENTOS
94300105024382021,388754,SISRP,5,V,9,"ACICLOVIR, DOSAGEM: 200 MG",268370,NA,NA,COMPRIMIDO,COMPR,"0,00","2.012.800,00","0,15","0,00",02814497000700,CIMED INDUSTRIA S.A.,GENERICO(CIMED),943001,GOVERNO DO ESTADO DO CEARÁ,"2.304.400,00",FORTALEZA,CE,86940,GOVERNO DO ESTADO DO CEARÁ,E,E,2022-02-02T03:00:00Z,2023-02-03T03:30:00Z,2023-02-03T04:00:00Z,2022-02-02T03:00:00Z,2025-06-17T11:15:00Z,6505,DROGAS E MEDICAMENTOS
16044505000352021,392096,SISRP,5,V,2,"ACICLOVIR, DOSAGEM: 200 MG",268370,NA,NA,COMPRIMIDO,COMPR,"0,00","1.850,00","0,21","0,00",00802002000102,ALTERMED MATERIAL MEDICO HOSPITALAR LTDA,PRATI DONADUZZI,160445,HOSPITAL DA GUARNICAO DE FLORIANOPOLIS,"4.205.407,00",FLORIANÓPOLIS,SC,52121,COMANDO DO EXERCITO,E,F,2022-02-03T03:00:00Z,2023-02-04T03:30:00Z,2023-02-04T04:00:00Z,2022-02-03T03:00:00Z,2025-07-01T09:07:00Z,6505,DROGAS E MEDICAMENTOS
98663705000062022,393848,SISPP,5,V,1,"ACICLOVIR, DOSAGEM: 200 MG",268370,NA,NA,COMPRIMIDO,COMPR,"0,00","30.000,00","0,17","0,00",03652030000170,CENTERMEDI-COMERCIO DE PRODUTOS HOSPITALARES LTDA,HERVIRAX,986637,PREFEITURA MUNICIPAL DE LENÇÓIS PAULISTA - SP,"3.526.803,00",LENÇÓIS PAULISTA,SP,95894,PREFEITURA MUNICIPAL DE LENÇÓIS PAULISTA - SP,E,M,2022-02-03T03:00:00Z,2023-02-04T03:30:00Z,2023-02-04T04:00:00Z,2022-02-03T03:00:00Z,2024-03-24T15:14:00Z,6505,DROGAS E MEDICAMENTOS
16049505000142022,1288157,SISRP,5,V,1,"ACICLOVIR, DOSAGEM: 200 MG",268370,NA,NA,COMPRIMIDO,COMPR,"0,00","1.500,00","0,23","0,00",03634617000157,AZULPHARMA DISTRIBUIDORA DE MEDICAMENTOS LTDA,HERVIRAX,160495,HOSPITAL MILITAR DE ÁREA DE SÃO PAULO,"3.550.308,00",SÃO PAULO,SP,52121,COMANDO DO EXERCITO,E,F,2023-02-06T03:00:00Z,2024-02-07T03:30:00Z,2024-02-07T04:00:00Z,2023-02-06T03:00:00Z,2025-06-09T09:01:00Z,6505,DROGAS E MEDICAMENTOS
