nomeUasg,estado,n_itens,IPR_mediano,IPR_p75,valor_total
GRUPAMENTO DE APOIO DE BELÉM,PA,5,2.0,2.2,930.0
BASE ADMINISTRATIVA DO COMPLEXO DE SAÚDE RJ,RJ,7,1.8,1.929,4017.34
HOSPITAL NAVAL DE BELEM,PA,5,1.7,2.25,4073.0
HOSPITAL DA G. S. GABRIEL DA CACHOEIRA,AM,5,1.55,1.6,1471.0
HOSPITAL UNIV DA UNIVERSIDADE FEDERAL AMAPA,AP,8,1.525,1.75,4033.1
HOSPITAL DE GUARNICAO DE MARABA,PA,5,1.5,1.5,1062.2
PREFEITURA MUNICIPAL SANTA BARBARA DO PARA,PA,6,1.5,1.65,23600.0
PREFEITURA MUNICIPAL DE SANTA INES - MA,MA,5,1.5,1.5,69366.0
7 REGIMENTO DE CAVALARIA MECANIZADO/RS,RS,5,1.5,1.75,679.3
HOSPITAL UNIVERSITÁRIO GETÚLIO VARGAS,AM,8,1.375,1.58,2719.0
HOSPITAL MILITAR DE ÁREA DE MANAUS,AM,9,1.35,1.5,5761.9
HOSPITAL UNIV. MONS. JOÃO B. DE CARVALHO D.,SE,11,1.35,1.5,34047.0
4. BATALHAO DE INFANTARIA DE SELVA/MES/AC,AC,8,1.35,1.675,1989.0
COMANDO 13 BDA DE INFANTARIA MOTORIZADA-ME/MT,MT,10,1.35,1.65,2849.01
FUNDO MUNICIPAL DE SAUDE DE GUARAI - TO,TO,5,1.333,1.6,10032.0
DISTRITO SANIT.ESP.INDÍGENA - ALTO SOLIMOES,AM,8,1.325,1.638,26196.32
HOSPITAL DE GUARNICAO DE JOAO PESSOA,PB,6,1.3,1.388,1891.0
HOSPITAL DA GUARNICAO DE FLORIANOPOLIS,SC,6,1.298,1.575,1560.2
EPA-FUNDA. CENTRO HEMOT. E HEMATOLGIA DO PARÁ,PA,5,1.25,1.25,18364.0
HOSPITAL DE GUARNICAO DE SANTIAGO/RS,RS,8,1.25,1.512,2927.0
HOSPITAL UNIVERSITÁRIO JÚLIO MULLER,MT,9,1.25,2.0,20503.5
HOSPITAL UNIV. PROFESSOR ALBERTO ANTUNES,AL,9,1.25,1.6,2136.6
HOSPITAL MILITAR DE ÁREA DE SÃO PAULO,SP,8,1.25,1.375,1384.88
EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES,MA,9,1.25,1.25,22505.48
HOSPITAL DE GUARNICAO DE TABATINGA/MEX/AM,AM,7,1.25,1.339,5282.0
FUND.PUBL.EST.HOSP.DE CLÍNICAS GASPAR VIANNA,PA,8,1.25,1.425,6569.0
HOSPITAL DE DOENÇAS TROPICAIS,TO,7,1.25,1.725,910.0
DISTRITO SANIT.ESP.INDIGENA MEDIO SOLIMOES AM,AM,7,1.25,1.475,21950.0
38  BATALHAO DE INFANTARIA/MEX/ES,ES,5,1.25,1.3,3850.0
DEPEN - DIRETORIA EXECUTIVA,DF,5,1.25,1.25,3363.4
HOSPITAL GERAL DE FORTALEZA/MEX - CE,CE,5,1.25,1.5,2622.0
HOSPITAL MILITAR DE ÁREA DE PORTO ALEGRE,RS,13,1.25,1.5,7595.23
PREFEITURA MUNICIPAL DE NOVA TIMBOTEUA - PA,PA,5,1.25,1.25,20060.0
SERVIÇO AUTONOMO HOSPITALAR DE VOLTA REDONDA,RJ,10,1.25,1.425,3980.0
PREFEITURA MUNICIPAL DE CANDIBA - BA,BA,5,1.25,2.0,2090.0
PREFEITURA MUNICIPAL DE BARCARENA - PA,PA,11,1.25,1.375,166883.28
PREFEITURA MUNICIPAL DE VARZEDO - BA,BA,9,1.25,1.6,27616.0
DISTRITO SANIT.ESP.INDIGENA - MANAUS - AM,AM,6,1.225,1.25,43000.0
HOSPITAL UNIVERSITÁRIO DO PIAUÍ,PI,8,1.225,1.25,11375.0
HOSPITAL DE GUARNICAO DE PORTO VELHO-MEX/RO,RO,8,1.219,1.412,1917.32
HOSP ENS DR WASHINGTON ANTONIO BARROS,PE,9,1.2,1.25,2565.0
COMPLEXO HOSPITALAR UNIVERSITÁRIO DA UFPA,PA,7,1.2,1.475,4979.3
MEX-COMANDO 4.BRIGADA CAVALARIA MECANIZADA/MS,MS,5,1.2,1.3,1591.0
PREFEITURA MUNICIPAL DE GUAMARÉ - RN,RN,5,1.2,1.333,22840.0
1A. BRIGADA DE INFANTARIA DE SELVA/RR,RR,5,1.2,1.2,5613.8
HOSPITAL NAVAL_DE SALVADOR,BA,9,1.2,1.333,1195.0
HOSPITAL DAS FORCAS ARMADAS,DF,9,1.2,1.381,2745.92
HOSPITAL GERAL DE BELEM,PA,12,1.196,1.25,5248.2
COMPLEXO HOSPITALAR DO CEARÁ,CE,6,1.19,1.47,9234.17
HOSPITAL UNIVERSITÁRIO DE JUIZ DE FORA,MG,7,1.19,1.225,2404.0
MATERNIDADE CLIMÉRIO DE OLIVEIRA,BA,6,1.175,1.388,19832.7
HOSPITAL UNIVERSITÁRIO DE SERGIPE,SE,8,1.175,1.25,17146.5
HOSPITAL DAS CLÍNICAS DE MINAS GERAIS,MG,7,1.15,1.375,94849.36
CENTRO DE INTENDENCIA DA MARINHA EM MANAUS,AM,9,1.15,1.25,14370.28
EPA-FUNDAÇÃO SANTA CASA MISERICORDIA DO PARÁ,PA,6,1.149,1.25,28381.0
COMPLEXO HOSPITALAR UNIVERSITÁRIO DA UFPR,PR,14,1.146,1.238,38891.0
PREFEITURA MUNICIPAL DE SILVES - AM,AM,7,1.143,1.35,23620.0
DISTRITO SANIT.ESP.INDÍGENA GUAMA TOCANTINS,PA,9,1.143,1.25,22306.0
HOSPITAL U. CASSIANO ANTONIO DE MORAIS,ES,8,1.125,1.312,10160.0
PREFEITURA MUNICIPAL DE PAULO AFONSO - BA,BA,8,1.125,1.388,89510.0
ETO - SECRETARIA DA SAUDE DO ESTADO,TO,6,1.125,1.25,13420.8
EBSERH - HOSP. UNIV. ANTONIO PEDRO,RJ,6,1.1,1.238,75081.0
DISTRITO SANIT.ESP.INDIGENA MEDIO PURUS AM,AM,6,1.1,1.371,13640.0
GRUPAMENTO DE APOIO DE RECIFE,PE,5,1.1,1.2,1343.0
HOSPITAL GERAL DE SALVADOR,BA,5,1.1,1.15,1076.0
DISTRITO SANIT.ESP.INDIGENA - VILHENA - RO,RO,6,1.099,1.188,10751.0
PREFEITURA MUNICIPAL DE BOA VISTA DO TUPIM/BA,BA,9,1.095,1.4,22565.0
PREFEITURA MUNICIPAL DE JABORANDI - BA,BA,8,1.095,1.275,43630.0
HOSPITAL DAS CLINICAS DE GOIÁS,GO,6,1.075,1.225,4377.0
DISTRITO SANIT.ESP.INDÍGENA - LESTE RR,RR,5,1.05,1.2,36100.0
DISTRITO SANIT.ESP.INDÍGENA - XINGU,MT,6,1.05,1.132,10126.0
PREFEITURA MUNICIPAL SÃO MIGUEL DO GUAMÁ - PA,PA,6,1.025,1.362,32540.0
COMPLEXO HOSPITALAR E DE SAUDE DA UFBA,BA,6,1.025,1.155,49095.0
"AG. DE LICIT., CONT. E CONV. DE MACEIO",AL,11,1.0,1.0,327989.62
COMANDO BRIGADA INFANTARIA PARAQUEDISTA/RJ,RJ,9,1.0,1.2,12254.64
CENTRAL DE LICITACOES DA PREF. DE FORTALEZA,CE,5,1.0,1.0,866469.6
DISTRITO SANIT. ESP.INDIGENA - ALTAMIRA,PA,6,1.0,1.0,9364.0
DISTRITO SANIT. ESP.INDIGENA- KAIAPO REDENçãO,PA,9,1.0,1.1,8030.0
FUNDO MUNICIPAL DE SAUDE DE MACAE - RJ,RJ,6,1.0,1.0,137245.5
FUNDO MUNICIPAL DE SAUDE DE MARABA - PA,PA,13,1.0,1.0,191220.3
FUNDO MUN DE SAUDE DE VASSOURAS - RJ,RJ,9,1.0,1.05,104162.1
HOSPITAL DAS CLIN DA UNIV FED DE UBERLÂNDIA,MG,7,1.0,1.475,15930.0
DIST.SANIT.ESP.INDÍGENA MATO GROSSO DO SUL,MS,9,1.0,1.0,92319.6
DIST. SANTI. ESP.INDIGENA ALTO RIO NEGRO,AM,5,1.0,1.0,26084.0
DISTRITO SANIT.ESP.INDIGENA - TAPAJOS - PA,PA,9,1.0,1.2,46708.94
DISTRITO SANIT.ESP. INDÍGENA - MARANHAO,MA,7,1.0,1.024,47511.5
DEPARTAMENTO DE LOGÍSTICA EM SAUDE,DF,11,1.0,1.0,571945.0
DIST. SANIT. ESP. INDIGENA PARINTINS,AM,6,1.0,1.037,15260.0
AUTARQUIA MUN. DE SAUDE DE APUCARANA - PR,PR,6,1.0,1.0,226120.0
FUNDO ESTADUAL DE SAÚDE,SE,9,1.0,1.1,46880.0
DISTRITO SANIT.ESP.INDÍGENA AL/SE,AL,16,1.0,1.149,31719.0
DISTRITO SANIT.ESP.INDÍGENA - TOCANTINS,TO,6,1.0,1.0,22430.0
DISTRITO SANIT.ESP.INDÍGENA - CEARA,CE,5,1.0,1.238,19520.0
DISTRITO SANIT.ESP.INDÍGENA - INTERIOR SUL,SC,5,1.0,1.1,38410.0
SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO - NATAL,RN,6,1.0,1.075,152400.0
SECRETARIA DE ESTADO DA SAÚDE DE RR,RR,16,1.0,1.125,145410.3
PREFEITURA MUNICIPAL GOVERNADOR MANGABEIRA-BA,BA,9,1.0,1.2,28385.0
PREFEITURA MUNICIPAL DE VERA CRUZ DO OESTE-PR,PR,6,1.0,1.0,3650.0
PREFEITURA MUNICIPAL SAO DOMINGOS DO CAPIM-PA,PA,9,1.0,1.19,111710.0
PREFEITURA MUNICIPAL STO. ANTONIO DESCOBERTO,GO,6,1.0,1.0,20567.0
PREFEITURA MUNUNICIPAL DE ENTRE RIOS DO OESTE,PR,9,1.0,1.0,4975.0
PREFEITURA MUNICIPAL DE TERESOPOLIS - RJ,RJ,9,1.0,1.0,59300.0
PREFEITURA MUNICIPAL DE PLANALTO - PM,PR,6,1.0,1.0,6010.0
PREFEITURA MUNICIPAL DE SÃO BENTO - PB,PB,5,1.0,1.0,28330.0
PREFEITURA MUNICIPAL DE NOVA SANTA ROSA - PR,PR,7,1.0,1.0,6610.0
PREFEITURA MUNICIPAL DE NOVA FRIBURGO - RJ,RJ,13,1.0,1.0,183198.2
PREFEITURA MUNICIPAL DE DONA FRANCISCA - RS,RS,9,1.0,1.0,5410.0
