nomeUasg,estado,n,IPAE_mediano,excesso_ajustado
GRUPAMENTO DE APOIO DE BELÉM,PA,7,1.754,772.055
PREFEITURA MUNICIPAL DE SANTA INES - MA,MA,5,1.646,28349.472
HOSPITAL NAVAL DE BELEM,PA,5,1.626,1358.338
PREFEITURA MUNICIPAL SANTA BARBARA DO PARA,PA,6,1.537,8126.162
HOSPITAL DA G. S. GABRIEL DA CACHOEIRA,AM,5,1.399,386.497
HOSPITAL UNIV DA UNIVERSIDADE FEDERAL AMAPA,AP,8,1.391,1145.601
BASE ADMINISTRATIVA DO COMPLEXO DE SAÚDE RJ,RJ,7,1.391,513.053
DISTRITO SANIT.ESP.INDÍGENA - ALTO SOLIMOES,AM,8,1.387,6459.843
PREFEITURA MUNICIPAL DE BARCARENA - PA,PA,11,1.345,38695.729
CENTRAL DE LICITACOES DA PREF. DE FORTALEZA,CE,5,1.333,209870.215
GRUPAMENTO DE APOIO DE CANOAS,RS,7,1.305,191.401
DISTRITO SANIT.ESP.INDIGENA - MANAUS - AM,AM,6,1.3,10294.987
PREFEITURA MUNICIPAL DE VARZEDO - BA,BA,9,1.273,5937.603
FUNDO MUNICIPAL DE SAUDE DE GUARAI - TO,TO,5,1.272,2867.323
PREFEITURA MUNICIPAL DE NOVA TIMBOTEUA - PA,PA,5,1.263,4233.203
DISTRITO SANIT.ESP.INDIGENA MEDIO SOLIMOES AM,AM,7,1.258,3928.57
PREFEITURA MUNICIPAL DE GUAMARÉ - RN,RN,5,1.252,4737.026
9 BATALHAO DE INFANTARIA MOTORIZADO/RS,RS,5,1.246,197.427
FUND.PUBL.EST.HOSP.DE CLÍNICAS GASPAR VIANNA,PA,8,1.234,1202.897
EAL- INTERM.DO SUL DO ESTADO DE ALAGOAS,AL,5,1.229,102643.8
HOSPITAL MILITAR DE ÁREA DE MANAUS,AM,9,1.226,1025.171
HOSPITAL DE GUARNICAO DE MARABA,PA,5,1.22,167.872
PREFEITURA MUNICIPAL DO RIO DE JANEIRO - RJ,RJ,16,1.212,1969070.316
SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO - NATAL,RN,6,1.199,29670.529
SECRETARIA MUNICIPAL DE SAÚDE DE JOÃO PESSOA,PB,6,1.195,22717.447
HOSPITAL UNIV. MONS. JOÃO B. DE CARVALHO D.,SE,11,1.195,6606.852
CONSÓRCIO INTERGESTORES PARANÁ SAÚDE/PR,PR,5,1.195,776986.062
PREFEITURA MUNICIPAL DE BOA VISTA - RR,RR,5,1.188,43721.111
HOSPITAL UNIVERSITÁRIO GETÚLIO VARGAS,AM,8,1.187,423.073
