nomeUasg,estado,esferaDesc,n_itens,n_dispensas,valor_total,valor_dispensa,TCD_itens_pct,TCD_valor_pct
CAPITANIA DOS PORTOS DO ESTADO DA ALAGOAS,AL,Federal,3,3,400.0,400.0,100.0,100.0
CÂMARA MUNICIPAL DE SÃO PAULO,SP,Municipal,3,3,50.8,50.8,100.0,100.0
GRUPAMENTO DE NAVIOS HIDROCEANOGRAFICOS,RJ,Federal,5,5,421.0,421.0,100.0,100.0
INDUSTRIA DE MATERIAL BELICO DO BRASIL/FI,MG,Federal,3,3,2.5,2.5,100.0,100.0
CENTRO DE INTENDENCIA DA MARINHA NITEROI,RJ,Federal,4,3,483.5,447.5,75.0,92.55
19 BATALHAO DE INFANTARIA MOTORIZADO/RS,RS,Federal,3,2,1120.0,620.0,66.67,55.36
ESP-DEPTO.REG.SAUDE - DRS-IV BAIXADA SANTISTA,SP,Estadual,3,2,461.0,410.6,66.67,89.07
ESP-HOSP. CLIN FAC. MED. MARILIA - HC FAMEMA,SP,Estadual,4,2,3445.0,460.0,50.0,13.35
FUNDO MUNICIPAL DE SAÚDE DE CARPINA/PE,PE,Municipal,6,3,42000.0,13600.0,50.0,32.38
MEC-INSTITUTO DE PSIQUIATRIA DA UF/RJ,RJ,Não informado,6,2,5749.0,64.0,33.33,1.11
SECRETARIA MUNICIPAL DE SAUDE DE CARUARU - PE,PE,Municipal,11,3,184420.0,14850.0,27.27,8.05
ESCOLA DE ESPECIALISTAS DE AERONAUTICA,SP,Federal,4,1,1795.0,840.0,25.0,46.8
EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES,MA,Federal,9,2,22505.48,160.0,22.22,0.71
PREFEITURA MUNICIPAL DO RIO DE JANEIRO - RJ,RJ,Municipal,16,3,8187404.21,393850.0,18.75,4.81
HOSPITAL UNIV DA UNIVERSIDADE FEDERAL AMAPA,AP,Federal,11,2,5939.7,223.4,18.18,3.76
EBSERH - HOSP. UNIV. ANTONIO PEDRO,RJ,Federal,6,1,75081.0,900.0,16.67,1.2
HOSPITAL DE GUARNICAO DE JOAO PESSOA,PB,Federal,6,1,1891.0,35.0,16.67,1.85
INSTITUTO PUERIC. PED MAT. GESTEIRA DA UFRJ,RJ,Não informado,7,1,6170.0,100.0,14.29,1.62
13 GRUPO DE ATILHARIA DE CAMPANHA/RS,RS,Federal,3,0,1540.0,0.0,0.0,0.0
15ª BRIGADA DE INFANTARIA MECANIZADA,PR,Federal,3,0,381.5,0.0,0.0,0.0
1A. BRIGADA DE INFANTARIA DE SELVA/RR,RR,Federal,5,0,5613.8,0.0,0.0,0.0
2 BATALHAO DE INFANTARIA LEVE,SP,Federal,3,0,11820.84,0.0,0.0,0.0
38  BATALHAO DE INFANTARIA/MEX/ES,ES,Federal,6,0,3900.0,0.0,0.0,0.0
4. BATALHAO DE INFANTARIA DE SELVA/MES/AC,AC,Federal,9,0,2229.0,0.0,0.0,0.0
5 BATALHAO DE ENGENHARIA DE CONSTRUCAO/RO,RO,Federal,3,0,825.0,0.0,0.0,0.0
7 REGIMENTO DE CAVALARIA MECANIZADO/RS,RS,Federal,5,0,679.3,0.0,0.0,0.0
8 BATALHAO DE ENGENHARIA DE CONSTRUCAO,PA,Federal,4,0,525.0,0.0,0.0,0.0
9 BATALHAO DE INFANTARIA MOTORIZADO/RS,RS,Federal,5,0,901.4,0.0,0.0,0.0
ACADEMIA DA FORCA AEREA,SP,Federal,4,0,1260.0,0.0,0.0,0.0
"AG. DE LICIT., CONT. E CONV. DE MACEIO",AL,Municipal,11,0,327989.62,0.0,0.0,0.0
AGENCIA DE MODERNIZACAO DA GEST. DE PROCESSOS,AL,Estadual,3,0,27386.76,0.0,0.0,0.0
AUTARQUIA MUN. DE SAUDE DE APUCARANA - PR,PR,Municipal,6,0,226120.0,0.0,0.0,0.0
BASE ADMINISTRATIVA DO COMPLEXO DE SAÚDE RJ,RJ,Federal,9,0,6346.9,0.0,0.0,0.0
BASE DE AVIACAO DE TAUBATE,SP,Federal,4,0,318.5,0.0,0.0,0.0
CENTRAL DE LICITACOES DA PREF. DE FORTALEZA,CE,Municipal,5,0,866469.6,0.0,0.0,0.0
CENTRO DE AQUISIÇÕES ESPECIFICAS,RJ,Federal,9,0,17185.74,0.0,0.0,0.0
CENTRO DE INTENDENCIA DA MARINHA EM MANAUS,AM,Federal,9,0,14370.28,0.0,0.0,0.0
CENTRO DE OBTENCAO DA MARINHA/RJ,RJ,Federal,12,0,421309.8,0.0,0.0,0.0
COMANDO 13 BDA DE INFANTARIA MOTORIZADA-ME/MT,MT,Federal,10,0,2849.01,0.0,0.0,0.0
COMANDO BRIGADA INFANTARIA PARAQUEDISTA/RJ,RJ,Federal,9,0,12254.64,0.0,0.0,0.0
COMANDO DA 18 BRIG DE INFANTARIA DE PANTANAL,MS,Federal,3,0,414.0,0.0,0.0,0.0
COMANDO DE FRONTEIRA RONDONIA/6 BIS/MEX/RO,RO,Federal,3,0,465.0,0.0,0.0,0.0
COMPLEXO HOSPITALAR DO CEARÁ,CE,Federal,7,0,13167.17,0.0,0.0,0.0
COMPLEXO HOSPITALAR E DE SAUDE DA UFBA,BA,Não informado,6,0,49095.0,0.0,0.0,0.0
COMPLEXO HOSPITALAR UNIVERSITÁRIO DA UFPA,PA,Federal,7,0,4979.3,0.0,0.0,0.0
COMPLEXO HOSPITALAR UNIVERSITÁRIO DA UFPR,PR,Federal,14,0,38891.0,0.0,0.0,0.0
CONSÓRCIO INT.DE SAÚDE DA R.DE U.CENTRO SUL,MG,Municipal,4,0,380.0,0.0,0.0,0.0
