codigoItemCatalogo,descricaoItem,anoCompra,n_grupos,HHI,CR1_pct,CR4_pct,valor_total
267502,"ÁCIDO ACETILSALICÍLICO, DOSAGEM: 100 MG",2021,13.0,5921.0,75.9,93.6,407269.8
267502,"ÁCIDO ACETILSALICÍLICO, DOSAGEM: 100 MG",2022,100.0,2076.4,40.2,69.3,6106269.6
267502,"ÁCIDO ACETILSALICÍLICO, DOSAGEM: 100 MG",2023,104.0,1978.4,34.9,72.1,6482634.8
267502,"ÁCIDO ACETILSALICÍLICO, DOSAGEM: 100 MG",2024,112.0,1004.8,20.2,53.6,11365400.5
267502,"ÁCIDO ACETILSALICÍLICO, DOSAGEM: 100 MG",2025,84.0,1528.2,31.1,65.0,5086909.1
267503,"ÁCIDO FÓLICO, DOSAGEM: 5 MG",2021,13.0,3626.5,56.6,85.1,275942.4
267503,"ÁCIDO FÓLICO, DOSAGEM: 5 MG",2022,113.0,1309.7,31.8,55.4,2585258.7
267503,"ÁCIDO FÓLICO, DOSAGEM: 5 MG",2023,122.0,768.8,18.4,48.3,1976990.6
267503,"ÁCIDO FÓLICO, DOSAGEM: 5 MG",2024,113.0,982.1,20.2,58.4,2697760.0
267503,"ÁCIDO FÓLICO, DOSAGEM: 5 MG",2025,70.0,1539.6,28.3,71.6,1914341.4
268370,"ACICLOVIR, DOSAGEM: 200 MG",2021,16.0,2233.4,35.0,84.1,210645.1
268370,"ACICLOVIR, DOSAGEM: 200 MG",2022,119.0,2145.1,43.1,66.4,3022240.2
268370,"ACICLOVIR, DOSAGEM: 200 MG",2023,126.0,805.1,23.0,43.2,2168497.5
268370,"ACICLOVIR, DOSAGEM: 200 MG",2024,99.0,1683.4,29.0,74.7,6258899.7
268370,"ACICLOVIR, DOSAGEM: 200 MG",2025,67.0,2218.1,33.7,81.9,2851716.2
